# Source ADC	Temp 80.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3240000e+08	1.5182662e+00	2.3930112e-01
7.3240053e+08	1.5180587e+00	2.3904838e-01
7.3240107e+08	1.5181273e+00	2.3831819e-01
7.3240160e+08	1.5180881e+00	2.3796301e-01
7.3240213e+08	1.5180155e+00	2.3775597e-01
7.3240267e+08	1.5182575e+00	2.3734323e-01
7.3240320e+08	1.5182543e+00	2.3689552e-01
7.3240373e+08	1.5183025e+00	2.3653911e-01
7.3240427e+08	1.5185851e+00	2.3620876e-01
7.3240480e+08	1.5179878e+00	2.3562924e-01
7.3240533e+08	1.5186625e+00	2.3526357e-01
7.3240587e+08	1.5185791e+00	2.3511082e-01
7.3240640e+08	1.5185111e+00	2.3469847e-01
7.3240693e+08	1.5189780e+00	2.3470156e-01
7.3240747e+08	1.5183838e+00	2.3392236e-01
7.3240800e+08	1.5185977e+00	2.3394145e-01
7.3240853e+08	1.5185768e+00	2.3349055e-01
7.3240907e+08	1.5190183e+00	2.3313088e-01
7.3240960e+08	1.5188134e+00	2.3274630e-01
7.3241013e+08	1.5188970e+00	2.3205379e-01
7.3241067e+08	1.5190112e+00	2.3201598e-01
7.3241120e+08	1.5187095e+00	2.3157852e-01
7.3241173e+08	1.5188272e+00	2.3115192e-01
7.3241227e+08	1.5187508e+00	2.3077299e-01
7.3241280e+08	1.5190156e+00	2.3031719e-01
7.3241333e+08	1.5192369e+00	2.2976573e-01
7.3241386e+08	1.5193730e+00	2.2979941e-01
7.3241440e+08	1.5189741e+00	2.2920027e-01
7.3241493e+08	1.5189465e+00	2.2909742e-01
7.3241546e+08	1.5191526e+00	2.2880364e-01
7.3241600e+08	1.5191792e+00	2.2826648e-01
7.3241653e+08	1.5192591e+00	2.2799317e-01
7.3241706e+08	1.5192499e+00	2.2745303e-01
7.3241760e+08	1.5192739e+00	2.2693412e-01
7.3241813e+08	1.5194028e+00	2.2693946e-01
7.3241866e+08	1.5192522e+00	2.2629892e-01
7.3241920e+08	1.5197494e+00	2.2566253e-01
7.3241973e+08	1.5195037e+00	2.2569536e-01
7.3242026e+08	1.5196832e+00	2.2539927e-01
7.3242080e+08	1.5195727e+00	2.2481936e-01
7.3242133e+08	1.5197176e+00	2.2429224e-01
7.3242186e+08	1.5194987e+00	2.2410500e-01
7.3242240e+08	1.5197472e+00	2.2388666e-01
7.3242293e+08	1.5198756e+00	2.2332026e-01
7.3242346e+08	1.5197270e+00	2.2295174e-01
7.3242400e+08	1.5198665e+00	2.2273296e-01
7.3242453e+08	1.5197342e+00	2.2217967e-01
7.3242506e+08	1.5198326e+00	2.2184147e-01
7.3242560e+08	1.5200870e+00	2.2196867e-01
7.3242613e+08	1.5205493e+00	2.2133844e-01
7.3242666e+08	1.5198908e+00	2.2112952e-01
7.3242720e+08	1.5199714e+00	2.2049434e-01
7.3242773e+08	1.5201809e+00	2.2040328e-01
7.3242826e+08	1.5199645e+00	2.1985006e-01
7.3242880e+08	1.5200999e+00	2.1939719e-01
7.3242933e+08	1.5203443e+00	2.1902982e-01
7.3242986e+08	1.5201405e+00	2.1811220e-01
7.3243040e+08	1.5203220e+00	2.1867595e-01
7.3243093e+08	1.5205390e+00	2.1804865e-01
7.3243146e+08	1.5205361e+00	2.1779937e-01
7.3243200e+08	1.5201216e+00	2.1709057e-01
7.3243253e+08	1.5206457e+00	2.1717343e-01
7.3243306e+08	1.5205653e+00	2.1655181e-01
7.3243360e+08	1.5206460e+00	2.1637178e-01
7.3243413e+08	1.5204304e+00	2.1592236e-01
7.3243466e+08	1.5204663e+00	2.1546815e-01
7.3243520e+08	1.5205076e+00	2.1481758e-01
7.3243573e+08	1.5207050e+00	2.1453217e-01
7.3243626e+08	1.5209534e+00	2.1428366e-01
7.3243680e+08	1.5207069e+00	2.1368423e-01
7.3243733e+08	1.5207814e+00	2.1337311e-01
7.3243786e+08	1.5210164e+00	2.1339814e-01
7.3243839e+08	1.5206187e+00	2.1294525e-01
7.3243893e+08	1.5211617e+00	2.1265522e-01
7.3243946e+08	1.5209953e+00	2.1205846e-01
7.3243999e+08	1.5211648e+00	2.1169871e-01
7.3244053e+08	1.5210395e+00	2.1128910e-01
7.3244106e+08	1.5211655e+00	2.1110368e-01
7.3244159e+08	1.5210803e+00	2.1070889e-01
7.3244213e+08	1.5210841e+00	2.1035209e-01
7.3244266e+08	1.5210643e+00	2.0974099e-01
7.3244319e+08	1.5214153e+00	2.0958037e-01
7.3244373e+08	1.5214872e+00	2.0919743e-01
7.3244426e+08	1.5211154e+00	2.0868364e-01
7.3244479e+08	1.5216631e+00	2.0838676e-01
7.3244533e+08	1.5213714e+00	2.0823033e-01
7.3244586e+08	1.5213244e+00	2.0784202e-01
7.3244639e+08	1.5213752e+00	2.0740149e-01
7.3244693e+08	1.5215816e+00	2.0718221e-01
7.3244746e+08	1.5216800e+00	2.0681628e-01
7.3244799e+08	1.5213582e+00	2.0610581e-01
7.3244853e+08	1.5216292e+00	2.0574044e-01
7.3244906e+08	1.5214657e+00	2.0573999e-01
7.3244959e+08	1.5214602e+00	2.0513616e-01
7.3245013e+08	1.5216275e+00	2.0490454e-01
7.3245066e+08	1.5214692e+00	2.0476410e-01
7.3245119e+08	1.5214226e+00	2.0409958e-01
7.3245173e+08	1.5217684e+00	2.0352520e-01
7.3245226e+08	1.5220252e+00	2.0365147e-01
7.3245279e+08	1.5219880e+00	2.0309787e-01
7.3245333e+08	1.5216572e+00	2.0275397e-01
7.3245386e+08	1.5218837e+00	2.0221915e-01
7.3245439e+08	1.5219360e+00	2.0201604e-01
7.3245493e+08	1.5216358e+00	2.0164910e-01
7.3245546e+08	1.5221468e+00	2.0114777e-01
7.3245599e+08	1.5219408e+00	2.0101176e-01
7.3245653e+08	1.5217493e+00	2.0034703e-01
7.3245706e+08	1.5220913e+00	1.9999484e-01
7.3245759e+08	1.5219709e+00	1.9972846e-01
7.3245813e+08	1.5223946e+00	1.9972220e-01
7.3245866e+08	1.5220647e+00	1.9917579e-01
7.3245919e+08	1.5217713e+00	1.9900408e-01
7.3245973e+08	1.5222973e+00	1.9844179e-01
7.3246026e+08	1.5222309e+00	1.9805963e-01
7.3246079e+08	1.5222253e+00	1.9760085e-01
7.3246133e+08	1.5221785e+00	1.9740782e-01
7.3246186e+08	1.5222019e+00	1.9704878e-01
7.3246239e+08	1.5222178e+00	1.9656252e-01
7.3246292e+08	1.5226687e+00	1.9592388e-01
7.3246346e+08	1.5224557e+00	1.9574589e-01
7.3246399e+08	1.5221721e+00	1.9558180e-01
7.3246452e+08	1.5223091e+00	1.9530475e-01
7.3246506e+08	1.5230370e+00	1.9450388e-01
7.3246559e+08	1.5225895e+00	1.9446276e-01
7.3246612e+08	1.5225538e+00	1.9413317e-01
7.3246666e+08	1.5226216e+00	1.9357917e-01
7.3246719e+08	1.5227047e+00	1.9354013e-01
7.3246772e+08	1.5225306e+00	1.9291477e-01
7.3246826e+08	1.5226248e+00	1.9224674e-01
7.3246879e+08	1.5228943e+00	1.9234765e-01
7.3246932e+08	1.5227578e+00	1.9161702e-01
7.3246986e+08	1.5229604e+00	1.9172904e-01
